Unthreaded,Nonlocking,Locking,Java
8505,138,66,1499
8465,129,22,321
8580,138,11,331
10978,137,11,265
10968,138,10,258
10970,145,10,285
10972,143,5,259
10703,127,5,257
8249,127,7,261
8236,123,5,269
8262,125,5,269
8240,127,5,261
8245,123,10,256
8244,125,5,270
8245,128,5,258
8236,133,5,265
8312,124,5,262
8290,130,5,266
8222,130,8,254
8303,129,5,275
8226,131,5,259
8328,133,5,262
8245,134,4,272
8235,133,5,263
8236,137,7,267
8244,127,5,279
8276,130,5,267
8239,129,4,255
8256,128,5,257
8289,120,5,259
8295,126,6,284
8253,131,6,280
8248,132,6,270
8285,132,6,263
8281,128,6,258
8285,134,7,276
8274,127,5,299
8250,125,5,249
8227,126,5,284
8244,128,5,266
8252,126,5,273
8285,125,5,280
8221,131,5,288
8249,129,5,270
8249,126,5,260
8229,133,5,269
8302,129,5,269
8288,132,5,281
8267,126,5,262
8250,139,5,262
8245,128,5,269
8256,133,5,274
8248,129,5,259
8229,124,5,269
8234,123,5,263
8236,129,5,258
8253,132,4,264
8252,131,5,264
8230,133,5,288
8244,132,5,270
8526,132,5,285
8509,133,5,266
8254,134,5,279
8277,135,5,280
8268,126,5,276
8248,135,5,268
8262,132,5,266
8283,135,5,268
8267,130,5,264
8223,134,5,257
8265,125,5,248
8250,132,4,257
8266,132,5,288
8375,129,5,262
8248,130,5,264
8241,126,5,279
8244,133,5,270
8236,127,5,251
8254,127,5,264
8262,132,5,260
8234,133,5,252
8234,133,5,255
8252,126,5,247
8270,138,5,277
8222,120,5,260
8238,138,5,262
8249,126,5,277
8249,121,5,269
8263,134,5,260
8238,131,5,282
8240,136,5,260
8257,120,5,258
8240,134,5,256
8269,126,5,262
8240,131,5,252
8250,132,5,262
8219,126,5,264
8277,132,5,254
8251,131,5,262
8239,133,5,268
8255,133,5,273
8259,124,5,254
8275,126,5,274
8230,133,5,274
8240,133,5,261
8231,137,5,258
8237,123,5,249
8287,130,5,253
8222,130,5,254
8244,133,5,269
8236,131,5,277
8236,135,5,267
8258,126,5,281
8251,137,5,253
8224,133,4,264
8242,123,5,253
8313,134,5,259
8243,132,5,294
8237,135,5,264
8254,129,5,270
8271,136,5,271
8236,124,5,262
8270,125,5,260
8239,128,5,259
8257,135,5,279
8253,132,5,262
8219,131,5,270
8238,131,5,271
8251,137,5,254
8270,133,5,263
8287,128,5,262
8253,126,5,267
8242,132,5,283
8304,138,5,266
8272,140,5,271
8239,132,6,268
8244,131,5,252
8233,135,5,263
8221,129,6,278
8248,131,6,266
8258,130,5,258
8236,133,5,269
8258,133,5,268
8326,132,5,264
8274,138,5,279
8222,122,5,260
8272,126,5,276
8237,133,5,255
8234,137,5,277
8250,130,5,264
8254,134,5,274
8246,131,5,275
8252,128,5,277
8241,131,5,277
8247,130,5,257
8246,130,5,261
8217,134,5,266
8234,129,5,264
8257,126,5,259
8241,129,5,261
8281,125,5,260
8251,128,5,259
8233,133,4,276
8249,129,5,275
8261,131,5,263
8254,132,5,265
8239,138,5,259
8248,124,5,270
8253,125,5,270
8232,121,5,267
8250,131,5,264
8266,131,5,268
8253,131,5,261
8244,132,5,266
8248,121,5,285
8262,133,5,261
8256,131,5,274
8255,138,5,291
8265,126,4,273
8270,129,5,272
8236,129,5,265
8243,129,5,255
8248,138,5,271
8257,128,5,262
8258,133,5,255
8291,130,5,264
8228,123,5,274
8233,125,5,259
8264,132,5,266
8234,133,5,298
8257,128,5,253
8236,129,5,269
8243,130,5,288
8247,126,5,258
8281,131,5,278
8370,126,5,284
8295,130,5,268
8270,130,5,260
8279,127,5,268
8310,133,5,269
8249,132,5,264
8234,133,5,276
8239,133,5,270
8236,132,5,264
8303,129,5,271
8241,123,5,290
8238,129,5,279
8272,129,5,264
8264,131,5,258
8268,130,5,252
8234,130,5,269
8244,133,5,260
8252,128,5,264
8271,119,4,261
8232,128,5,259
8272,122,5,260
8272,133,5,278
8255,130,5,273
8256,129,5,269
8258,133,5,266
8234,127,5,248
8238,125,5,262
8236,137,5,255
8218,128,5,256
8247,133,5,257
8228,136,5,266
8614,130,5,273
8402,126,5,268
8287,123,5,268
8326,127,5,289
8315,120,5,263
8298,122,4,256
8235,133,5,269
8248,123,5,269
8253,118,4,252
8164,132,5,264
8308,125,5,271
8243,132,5,252
8237,127,5,263
8285,128,5,280
8257,127,5,284
8291,128,5,262
8276,137,5,260
8278,125,5,251
8256,120,5,267
8237,133,5,260
8228,128,5,273
8264,129,5,259
8248,130,5,255
8244,130,5,265
